graph_name,parent_name,source,pickle_path,opt_sum,n,m,density,planar,bipartite,radius,diameter,node_connectivity,degree_min,degree_max,degree_p25,degree_p50,degree_p75,closeness_centrality_min,closeness_centrality_max,closeness_centrality_p25,closeness_centrality_p50,closeness_centrality_p75,betweenness_centrality_min,betweenness_centrality_max,betweenness_centrality_p25,betweenness_centrality_p50,betweenness_centrality_p75,degree_centrality_min,degree_centrality_max,degree_centrality_p25,degree_centrality_p50,degree_centrality_p75,clustering_min,clustering_max,clustering_p25,clustering_p50,clustering_p75,transitivity,katz_centrality_min,katz_centrality_max,katz_centrality_p25,katz_centrality_p50,katz_centrality_p75,pagerank_min,pagerank_max,pagerank_p25,pagerank_p50,pagerank_p75,treewidth_min_fill_in,treewidth_min_degree,LB,remove_edges_dfs_sol,remove_edges_dfs_time,remove_edges_pagerank_scc_iteratively_sol,remove_edges_pagerank_scc_iteratively_time,remove_edges_trueskill_scc_iterativela_sol,remove_edges_trueskill_scc_iterativela_time,remove_edges_pagerank_BF_iterately_forward_sol,remove_edges_pagerank_BF_iterately_forward_time,remove_edges_trueskill_BF_iterately_forward_sol,remove_edges_trueskill_BF_iterately_forward_time,remove_edges_pagerank_BF_iterately_noforward_sol,remove_edges_pagerank_BF_iterately_noforward_time,remove_edges_trueskill_BF_iterately_noforward_sol,remove_edges_trueskill_BF_iterately_noforward_time,remove_edges_pagerank_voting_sol,remove_edges_pagerank_voting_time,remove_edges_trueskill_voting_sol,remove_edges_trueskill_voting_time,diverses_sol,diverses_time,UB,gap,rel_gap
smallworld-0832-60-400-1194.al_10,smallworld-0832-60-400-1194.al,FASP-benchmarks,pickles/smallworld-0832-60-400-1194.al_10.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,
smallworld-0832-60-400-1194.al_11,smallworld-0832-60-400-1194.al,FASP-benchmarks,pickles/smallworld-0832-60-400-1194.al_11.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,
smallworld-0832-60-400-1194.al_12,smallworld-0832-60-400-1194.al,FASP-benchmarks,pickles/smallworld-0832-60-400-1194.al_12.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,
smallworld-0832-60-400-1194.al_13,smallworld-0832-60-400-1194.al,FASP-benchmarks,pickles/smallworld-0832-60-400-1194.al_13.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,
smallworld-0832-60-400-1194.al_14,smallworld-0832-60-400-1194.al,FASP-benchmarks,pickles/smallworld-0832-60-400-1194.al_14.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,
smallworld-0832-60-400-1194.al_15,smallworld-0832-60-400-1194.al,FASP-benchmarks,pickles/smallworld-0832-60-400-1194.al_15.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,
smallworld-0832-60-400-1194.al_16,smallworld-0832-60-400-1194.al,FASP-benchmarks,pickles/smallworld-0832-60-400-1194.al_16.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,
smallworld-0832-60-400-1194.al_17,smallworld-0832-60-400-1194.al,FASP-benchmarks,pickles/smallworld-0832-60-400-1194.al_17.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,
smallworld-0832-60-400-1194.al_18,smallworld-0832-60-400-1194.al,FASP-benchmarks,pickles/smallworld-0832-60-400-1194.al_18.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,
smallworld-0832-60-400-1194.al_19,smallworld-0832-60-400-1194.al,FASP-benchmarks,pickles/smallworld-0832-60-400-1194.al_19.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,
smallworld-0832-60-400-1194.al_20,smallworld-0832-60-400-1194.al,FASP-benchmarks,pickles/smallworld-0832-60-400-1194.al_20.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,
smallworld-0832-60-400-1194.al_21,smallworld-0832-60-400-1194.al,FASP-benchmarks,pickles/smallworld-0832-60-400-1194.al_21.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,
smallworld-0832-60-400-1194.al_22,smallworld-0832-60-400-1194.al,FASP-benchmarks,pickles/smallworld-0832-60-400-1194.al_22.pickle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,,
